"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2022","34,347.03","34,213.04","34,386.51","34,199.57","131.93M","0.45%"
"11/23/2022","34,194.06","34,091.57","34,262.07","34,004.64","236.82M","0.28%"
"11/22/2022","34,098.10","33,810.05","34,115.70","33,810.05","279.60M","1.18%"
"11/21/2022","33,700.28","33,760.30","33,864.59","33,559.18","352.96M","-0.13%"
"11/18/2022","33,745.69","33,606.59","33,827.94","33,540.64","314.53M","0.59%"
"11/17/2022","33,546.32","33,329.27","33,616.02","33,239.75","321.57M","-0.02%"
"11/16/2022","33,553.83","33,554.93","33,682.83","33,516.99","305.54M","-0.12%"
"11/15/2022","33,592.92","33,755.94","33,987.06","33,320.20","391.84M","0.17%"
"11/14/2022","33,536.70","33,662.05","33,964.30","33,533.96","360.59M","-0.63%"
"11/11/2022","33,747.86","33,797.75","33,817.96","33,394.43","430.72M","0.10%"
"11/10/2022","33,715.37","33,263.91","33,727.73","33,167.82","488.26M","3.70%"
"11/09/2022","32,513.94","33,004.47","33,065.11","32,478.87","360.82M","-1.95%"
"11/08/2022","33,160.83","32,934.56","33,355.39","32,831.46","342.88M","1.02%"
"11/07/2022","32,827.00","32,454.10","32,895.59","32,424.99","341.10M","1.31%"
"11/04/2022","32,403.22","32,265.01","32,611.52","31,938.92","425.48M","1.26%"
"11/03/2022","32,001.25","31,985.05","32,185.71","31,727.05","357.27M","-0.46%"
"11/02/2022","32,147.76","32,576.28","33,071.93","32,139.77","399.65M","-1.55%"
"11/01/2022","32,653.20","32,862.79","32,975.48","32,485.23","325.57M","-0.24%"
"10/31/2022","32,732.95","32,754.27","32,883.86","32,586.93","394.10M","-0.39%"
"10/28/2022","32,861.80","32,204.31","32,889.81","32,158.38","499.42M","2.59%"
"10/27/2022","32,033.28","32,062.14","32,388.42","31,993.21","392.53M","0.61%"
"10/26/2022","31,839.11","31,738.44","32,172.42","31,738.44","430.40M","0.01%"
"10/25/2022","31,836.74","31,463.65","31,876.15","31,423.53","342.09M","1.07%"
"10/24/2022","31,499.62","31,187.32","31,603.63","31,161.41","345.04M","1.34%"
"10/21/2022","31,082.56","30,291.18","31,119.27","30,206.28","418.19M","2.47%"
"10/20/2022","30,333.59","30,411.92","30,822.96","30,265.20","333.19M","-0.30%"
"10/19/2022","30,423.81","30,439.04","30,662.11","30,226.90","315.54M","-0.33%"
"10/18/2022","30,523.80","30,697.52","30,837.90","30,301.83","390.76M","1.12%"
"10/17/2022","30,185.82","30,059.58","30,311.95","29,997.62","374.23M","1.86%"
"10/14/2022","29,634.83","30,192.21","30,428.82","29,614.30","380.98M","-1.34%"
"10/13/2022","30,038.72","28,755.83","30,168.54","28,660.94","472.67M","2.83%"
"10/12/2022","29,210.85","29,233.06","29,455.12","29,136.03","306.53M","-0.10%"
"10/11/2022","29,239.19","29,085.20","29,608.42","29,074.23","358.47M","0.12%"
"10/10/2022","29,202.88","29,419.09","29,485.82","29,010.41","318.47M","-0.32%"
"10/07/2022","29,296.79","29,685.27","29,685.27","29,142.66","370.38M","-2.11%"
"10/06/2022","29,926.94","30,206.13","30,329.61","29,859.34","308.95M","-1.15%"
"10/05/2022","30,273.87","30,078.36","30,454.46","29,886.44","292.04M","-0.14%"
"10/04/2022","30,316.32","29,826.67","30,325.05","29,826.67","379.03M","2.80%"
"10/03/2022","29,490.89","28,855.25","29,647.79","28,855.25","397.83M","2.66%"
"09/30/2022","28,725.51","29,123.03","29,355.78","28,715.85","466.86M","-1.71%"
"09/29/2022","29,225.61","29,513.73","29,513.73","28,997.34","392.42M","-1.54%"
"09/28/2022","29,683.74","29,198.92","29,811.78","29,114.97","439.14M","1.88%"
"09/27/2022","29,134.99","29,419.88","29,659.12","28,958.22","356.59M","-0.43%"
"09/26/2022","29,260.81","29,536.84","29,630.77","29,161.12","374.49M","-1.11%"
"09/23/2022","29,590.41","29,955.65","29,955.65","29,250.47","389.45M","-1.62%"
"09/22/2022","30,076.68","30,204.52","30,302.28","29,994.53","335.27M","-0.35%"
"09/21/2022","30,183.78","30,819.39","31,020.79","30,181.99","354.96M","-1.70%"
"09/20/2022","30,706.23","30,888.53","30,888.53","30,465.91","320.69M","-1.01%"
"09/19/2022","31,019.68","30,722.86","31,026.89","30,559.37","296.57M","0.64%"
"09/16/2022","30,822.42","30,866.61","30,866.61","30,550.08","627.92M","-0.45%"
"09/15/2022","30,961.82","31,124.68","31,277.69","30,882.08","349.09M","-0.56%"
"09/14/2022","31,135.09","31,141.02","31,276.82","30,885.02","353.88M","0.10%"
"09/13/2022","31,104.97","32,006.50","32,006.50","31,018.54","433.80M","-3.94%"
"09/12/2022","32,381.34","32,159.49","32,504.04","32,159.49","343.96M","0.71%"
"09/09/2022","32,151.71","31,876.22","32,227.74","31,876.22","312.40M","1.19%"
"09/08/2022","31,774.52","31,481.95","31,783.37","31,321.50","344.34M","0.61%"
"09/07/2022","31,581.28","31,145.63","31,644.34","31,095.21","355.10M","1.40%"
"09/06/2022","31,145.30","31,343.79","31,463.89","31,048.46","348.98M","-0.55%"
"09/02/2022","31,318.44","31,848.50","32,026.90","31,182.09","306.18M","-1.07%"
"09/01/2022","31,656.42","31,454.58","31,677.51","31,219.75","339.36M","0.46%"
"08/31/2022","31,510.43","31,827.15","31,966.04","31,509.59","392.78M","-0.88%"
"08/30/2022","31,790.87","32,163.84","32,205.66","31,647.22","328.64M","-0.96%"
"08/29/2022","32,098.99","32,188.00","32,325.16","31,972.79","320.09M","-0.57%"
"08/26/2022","32,283.40","33,293.43","33,364.70","32,278.22","352.85M","-3.03%"
"08/25/2022","33,291.78","33,029.27","33,306.09","32,889.85","308.53M","0.98%"
"08/24/2022","32,969.23","32,899.01","33,095.50","32,828.56","258.94M","0.18%"
"08/23/2022","32,909.59","33,033.52","33,138.26","32,858.89","254.46M","-0.47%"
"08/22/2022","33,063.61","33,586.59","33,586.59","33,007.63","308.90M","-1.91%"
"08/19/2022","33,706.74","33,904.69","33,904.69","33,627.09","298.43M","-0.86%"
"08/18/2022","33,999.04","33,981.86","34,043.83","33,844.46","284.14M","0.06%"
"08/17/2022","33,980.32","34,029.55","34,161.01","33,828.41","285.73M","-0.50%"
"08/16/2022","34,152.01","33,924.35","34,281.36","33,852.57","291.75M","0.71%"
"08/15/2022","33,912.44","33,710.70","33,954.71","33,582.96","263.72M","0.45%"
"08/12/2022","33,761.05","33,430.72","33,767.09","33,398.32","299.14M","1.27%"
"08/11/2022","33,336.67","33,451.51","33,651.80","33,289.83","309.72M","0.08%"
"08/10/2022","33,309.51","33,130.63","33,364.41","33,130.63","317.91M","1.63%"
"08/09/2022","32,774.41","32,807.36","32,877.53","32,702.66","283.45M","-0.18%"
"08/08/2022","32,832.54","32,877.36","33,109.96","32,769.10","279.11M","0.09%"
"08/05/2022","32,803.47","32,593.90","32,814.61","32,489.62","276.17M","0.23%"
"08/04/2022","32,726.82","32,805.69","32,829.22","32,652.63","318.77M","-0.26%"
"08/03/2022","32,812.50","32,514.21","32,912.74","32,514.21","344.30M","1.29%"
"08/02/2022","32,396.17","32,691.29","32,772.93","32,387.12","320.39M","-1.23%"
"08/01/2022","32,798.40","32,755.71","32,972.03","32,640.79","325.50M","-0.14%"
"07/29/2022","32,845.13","32,515.62","32,910.18","32,493.02","490.27M","0.97%"
"07/28/2022","32,529.63","32,197.62","32,609.54","31,982.61","350.63M","1.03%"
"07/27/2022","32,197.59","31,865.05","32,336.23","31,799.43","367.62M","1.37%"
"07/26/2022","31,761.54","31,950.04","31,950.04","31,705.36","330.70M","-0.71%"
"07/25/2022","31,990.04","31,950.93","32,029.03","31,821.67","264.61M","0.28%"
"07/22/2022","31,899.29","32,167.92","32,219.25","31,731.47","320.97M","-0.43%"
"07/21/2022","32,036.90","31,826.49","32,040.63","31,534.08","304.09M","0.51%"
"07/20/2022","31,874.84","31,829.99","31,944.45","31,646.95","319.14M","0.15%"
"07/19/2022","31,827.05","31,165.91","31,842.25","31,165.91","379.95M","2.43%"
"07/18/2022","31,072.61","31,475.98","31,644.68","30,982.97","309.96M","-0.69%"
"07/15/2022","31,288.26","30,775.37","31,288.26","30,775.37","337.39M","2.15%"
"07/14/2022","30,630.17","30,451.80","30,680.12","30,143.93","327.45M","-0.46%"
"07/13/2022","30,772.79","30,743.63","30,979.17","30,514.61","293.83M","-0.67%"
"07/12/2022","30,981.33","31,113.31","31,346.10","30,860.51","325.91M","-0.62%"
"07/11/2022","31,173.84","31,277.98","31,367.55","31,114.40","249.43M","-0.52%"
"07/08/2022","31,338.15","31,348.43","31,511.46","31,212.45","241.13M","-0.15%"
"07/07/2022","31,384.55","31,190.65","31,421.84","31,154.64","296.62M","1.12%"
"07/06/2022","31,037.68","30,957.30","31,224.69","30,794.84","292.71M","0.23%"
"07/05/2022","30,967.82","30,903.12","30,971.74","30,355.12","328.20M","-0.42%"
"07/01/2022","31,097.26","30,737.77","31,139.35","30,487.79","313.35M","1.05%"
"06/30/2022","30,775.43","30,790.00","30,979.85","30,431.87","397.27M","-0.82%"
"06/29/2022","31,029.31","31,067.41","31,152.96","30,894.53","273.97M","0.27%"
"06/28/2022","30,946.99","31,549.05","31,885.09","30,934.33","353.77M","-1.56%"
"06/27/2022","31,438.26","31,533.60","31,598.59","31,351.37","313.93M","-0.20%"
"06/24/2022","31,500.68","30,846.94","31,517.29","30,846.94","470.38M","2.68%"
"06/23/2022","30,677.36","30,570.33","30,715.63","30,293.40","362.91M","0.64%"
"06/22/2022","30,483.13","30,352.57","30,777.92","30,166.01","345.82M","-0.15%"
"06/21/2022","30,530.25","30,074.69","30,653.98","30,074.69","379.35M","2.15%"
"06/17/2022","29,888.78","29,912.70","30,167.52","29,653.29","692.83M","-0.13%"
"06/16/2022","29,927.07","30,305.74","30,305.74","29,740.35","444.89M","-2.42%"
"06/15/2022","30,668.53","30,570.50","31,011.97","30,185.08","394.57M","1.00%"
"06/14/2022","30,364.83","30,592.34","30,690.80","30,144.23","368.80M","-0.50%"
"06/13/2022","30,516.74","31,144.91","31,144.91","30,373.72","480.50M","-2.79%"
"06/10/2022","31,392.79","32,053.52","32,053.52","31,387.84","364.81M","-2.73%"
"06/09/2022","32,272.79","32,828.62","32,956.73","32,267.78","289.71M","-1.94%"
"06/08/2022","32,910.90","33,087.07","33,156.50","32,824.37","273.29M","-0.81%"
"06/07/2022","33,180.14","32,783.03","33,207.45","32,641.85","278.20M","0.80%"
"06/06/2022","32,915.78","33,032.04","33,235.37","32,819.50","258.40M","0.05%"
"06/03/2022","32,899.70","32,986.32","33,135.61","32,839.21","298.57M","-1.05%"
"06/02/2022","33,248.28","32,809.01","33,248.61","32,509.43","331.19M","1.33%"
"06/01/2022","32,813.23","33,156.31","33,272.34","32,584.76","338.21M","-0.54%"
"05/31/2022","32,990.12","33,160.59","33,240.22","32,752.34","549.81M","-0.67%"
"05/27/2022","33,212.96","32,735.09","33,213.62","32,682.01","331.19M","1.76%"
"05/26/2022","32,637.19","32,248.17","32,774.14","32,248.17","352.82M","1.61%"
"05/25/2022","32,120.28","31,816.31","32,254.44","31,754.33","348.46M","0.60%"
"05/24/2022","31,928.62","31,717.61","32,014.86","31,365.59","382.95M","0.15%"
"05/23/2022","31,880.24","31,395.89","31,968.42","31,395.89","405.83M","1.98%"
"05/20/2022","31,261.90","31,426.94","31,515.78","30,635.76","498.89M","0.03%"
"05/19/2022","31,253.13","31,262.62","31,569.13","31,016.41","517.19M","-0.75%"
"05/18/2022","31,490.07","32,468.67","32,468.67","31,393.95","465.06M","-3.57%"
"05/17/2022","32,654.59","32,427.00","32,689.14","32,308.15","389.31M","1.34%"
"05/16/2022","32,223.42","32,152.15","32,514.02","31,928.18","332.70M","0.08%"
"05/13/2022","32,196.66","31,963.86","32,276.05","31,862.79","388.52M","1.47%"
"05/12/2022","31,730.30","31,699.04","31,914.46","31,228.22","544.24M","-0.33%"
"05/11/2022","31,834.11","32,123.24","32,584.02","31,798.86","458.46M","-1.02%"
"05/10/2022","32,160.74","32,504.09","32,752.17","31,887.89","440.67M","-0.26%"
"05/09/2022","32,245.70","32,685.17","32,685.17","32,121.98","475.11M","-1.99%"
"05/06/2022","32,899.37","32,773.88","33,055.84","32,474.69","418.14M","-0.30%"
"05/05/2022","32,997.97","33,854.17","33,854.17","32,685.10","448.42M","-3.12%"
"05/04/2022","34,061.06","33,171.80","34,117.74","33,021.84","412.37M","2.81%"
"05/03/2022","33,128.79","33,086.09","33,341.58","32,914.75","364.42M","0.20%"
"05/02/2022","33,061.50","32,978.49","33,224.95","32,449.87","453.39M","0.26%"
"04/29/2022","32,977.21","33,787.01","33,919.59","32,913.15","501.56M","-2.77%"
"04/28/2022","33,916.39","33,425.96","34,054.79","33,248.46","451.60M","1.85%"
"04/27/2022","33,301.93","33,450.92","33,697.18","33,108.89","456.29M","0.19%"
"04/26/2022","33,240.18","33,907.49","33,909.51","33,230.95","403.70M","-2.38%"
"04/25/2022","34,049.46","33,731.65","34,106.01","33,323.37","418.00M","0.70%"
"04/22/2022","33,811.40","34,727.38","34,727.38","33,773.39","373.28M","-2.82%"
"04/21/2022","34,792.76","35,258.80","35,492.22","34,723.82","371.92M","-1.05%"
"04/20/2022","35,160.79","34,962.67","35,315.40","34,962.67","338.74M","0.71%"
"04/19/2022","34,911.20","34,394.62","34,983.11","34,394.62","303.44M","1.45%"
"04/18/2022","34,411.69","34,411.49","34,618.29","34,279.08","268.82M","-0.11%"
"04/14/2022","34,451.23","34,628.46","34,889.17","34,437.50","353.68M","-0.33%"
"04/13/2022","34,564.59","34,166.64","34,598.36","34,140.64","313.63M","1.01%"
"04/12/2022","34,220.36","34,412.51","34,669.97","34,102.81","333.51M","-0.26%"
"04/11/2022","34,308.08","34,630.27","34,701.34","34,272.29","336.63M","-1.19%"
"04/08/2022","34,721.12","34,569.24","34,908.46","34,470.19","306.19M","0.40%"
"04/07/2022","34,583.57","34,439.24","34,705.83","34,190.95","324.81M","0.25%"
"04/06/2022","34,496.51","34,520.34","34,609.84","34,277.17","386.25M","-0.42%"
"04/05/2022","34,641.18","34,876.33","35,112.21","34,566.04","308.98M","-0.80%"
"04/04/2022","34,921.88","34,799.98","34,940.78","34,615.38","317.56M","0.30%"
"04/01/2022","34,818.27","34,740.89","34,847.91","34,538.25","346.81M","0.40%"
"03/31/2022","34,678.35","35,201.52","35,201.52","34,677.99","438.36M","-1.56%"
"03/30/2022","35,228.81","35,273.63","35,361.36","35,058.58","324.67M","-0.19%"
"03/29/2022","35,294.19","35,114.35","35,372.26","35,030.07","355.05M","0.97%"
"03/28/2022","34,955.89","34,833.03","34,957.93","34,552.23","302.86M","0.27%"
"03/25/2022","34,861.24","34,702.39","34,942.70","34,631.52","287.07M","0.44%"
"03/24/2022","34,707.94","34,406.81","34,713.56","34,355.42","324.87M","1.02%"
"03/23/2022","34,358.50","34,748.84","34,748.84","34,352.96","349.59M","-1.29%"
"03/22/2022","34,807.46","34,583.24","34,882.03","34,583.24","368.55M","0.74%"
"03/21/2022","34,552.99","34,669.85","34,808.28","34,341.81","408.49M","-0.58%"
"03/18/2022","34,754.93","34,466.72","34,755.20","34,279.83","627.89M","0.80%"
"03/17/2022","34,480.76","33,995.39","34,483.92","33,896.06","339.47M","1.23%"
"03/16/2022","34,063.10","33,653.93","34,075.94","33,391.24","430.18M","1.55%"
"03/15/2022","33,544.34","32,989.27","33,620.84","32,989.27","394.82M","1.82%"
"03/14/2022","32,945.24","33,000.37","33,395.59","32,818.16","401.15M","0.00%"
"03/11/2022","32,944.19","33,279.72","33,515.61","32,911.89","369.48M","-0.69%"
"03/10/2022","33,174.07","33,106.77","33,236.59","32,819.76","399.48M","-0.34%"
"03/09/2022","33,286.25","32,860.42","33,457.28","32,860.42","421.55M","2.00%"
"03/08/2022","32,632.64","32,885.17","33,402.98","32,578.73","553.75M","-0.56%"
"03/07/2022","32,817.38","33,579.75","33,579.75","32,806.15","493.67M","-2.37%"
"03/04/2022","33,614.80","33,655.43","33,655.43","33,254.12","412.93M","-0.53%"
"03/03/2022","33,794.66","33,972.87","34,179.07","33,641.53","369.87M","-0.29%"
"03/02/2022","33,891.35","33,379.51","34,013.67","33,379.51","402.81M","1.79%"
"03/01/2022","33,294.95","33,813.48","33,870.14","33,107.67","442.31M","-1.76%"
"02/28/2022","33,892.60","33,870.62","33,963.63","33,469.31","451.81M","-0.49%"
"02/25/2022","34,058.75","33,277.22","34,095.74","33,277.22","421.17M","2.51%"
"02/24/2022","33,223.83","32,830.33","33,269.34","32,272.64","593.19M","0.28%"
"02/23/2022","33,131.76","33,680.97","33,832.59","33,084.90","376.49M","-1.38%"
"02/22/2022","33,596.61","33,974.09","34,024.74","33,364.29","438.32M","-1.42%"
"02/18/2022","34,079.18","34,310.45","34,423.58","33,976.18","414.08M","-0.68%"
"02/17/2022","34,312.03","34,858.47","34,858.47","34,246.23","351.85M","-1.78%"
"02/16/2022","34,934.27","34,951.83","35,042.09","34,642.64","309.36M","-0.16%"
"02/15/2022","34,988.84","34,686.19","35,047.79","34,686.19","305.67M","1.22%"
"02/14/2022","34,566.17","34,694.50","34,744.56","34,304.28","373.41M","-0.49%"
"02/11/2022","34,738.06","35,267.89","35,431.15","34,620.52","410.40M","-1.43%"
"02/10/2022","35,241.59","35,630.81","35,800.24","35,100.72","416.71M","-1.47%"
"02/09/2022","35,768.06","35,614.90","35,824.28","35,614.90","339.61M","0.86%"
"02/08/2022","35,462.78","35,160.68","35,544.89","35,090.42","333.94M","1.06%"
"02/07/2022","35,091.13","35,108.38","35,325.01","34,993.98","328.91M","0.00%"
"02/04/2022","35,089.74","35,095.74","35,333.55","34,799.08","349.88M","-0.06%"
"02/03/2022","35,111.16","35,520.08","35,535.94","35,071.06","390.18M","-1.45%"
"02/02/2022","35,629.33","35,378.19","35,679.20","35,290.12","364.06M","0.63%"
"02/01/2022","35,405.24","35,151.47","35,441.09","34,977.95","394.90M","0.78%"
"01/31/2022","35,131.86","34,691.17","35,148.14","34,496.10","474.44M","1.17%"
"01/28/2022","34,725.47","34,135.24","34,731.77","33,807.51","568.44M","1.65%"
"01/27/2022","34,160.78","34,261.75","34,773.32","34,007.78","527.78M","-0.02%"
"01/26/2022","34,168.09","34,520.82","34,815.67","33,876.48","549.31M","-0.38%"
"01/25/2022","34,297.73","34,186.64","34,591.04","33,545.52","522.19M","-0.19%"
"01/24/2022","34,364.50","34,070.61","34,420.99","33,150.33","678.12M","0.29%"
"01/21/2022","34,265.37","34,701.69","34,896.67","34,229.55","523.88M","-1.30%"
"01/20/2022","34,715.39","35,102.66","35,490.20","34,670.12","369.07M","-0.89%"
"01/19/2022","35,028.65","35,412.30","35,547.83","35,015.49","393.08M","-0.96%"
"01/18/2022","35,368.47","35,661.76","35,661.76","35,262.02","427.26M","-1.51%"
"01/14/2022","35,911.81","35,996.43","35,996.43","35,641.49","396.47M","-0.56%"
"01/13/2022","36,113.62","36,312.49","36,513.88","36,044.22","349.74M","-0.49%"
"01/12/2022","36,290.32","36,336.16","36,453.49","36,168.15","317.86M","0.11%"
"01/11/2022","36,252.02","36,058.85","36,271.47","35,769.38","363.19M","0.51%"
"01/10/2022","36,068.87","36,175.21","36,175.21","35,639.91","440.30M","-0.45%"
"01/07/2022","36,231.66","36,249.59","36,382.84","36,111.53","361.42M","-0.01%"
"01/06/2022","36,236.47","36,409.05","36,464.19","36,200.68","390.19M","-0.47%"
"01/05/2022","36,407.11","36,722.60","36,952.65","36,400.39","468.46M","-1.07%"
"01/04/2022","36,799.65","36,636.00","36,934.84","36,636.00","435.08M","0.59%"
"01/03/2022","36,585.06","36,321.59","36,595.82","36,246.45","347.93M","0.68%"
"12/31/2021","36,338.30","36,385.85","36,484.94","36,303.97","218.21M","-0.16%"
"12/30/2021","36,398.08","36,522.48","36,679.44","36,372.13","207.64M","-0.25%"
"12/29/2021","36,488.63","36,421.14","36,571.55","36,396.19","214.40M","0.25%"
"12/28/2021","36,398.21","36,302.99","36,527.26","36,302.99","239.09M","0.26%"
"12/27/2021","36,302.38","35,954.48","36,306.61","35,954.48","250.26M","0.98%"
"12/23/2021","35,950.56","35,782.42","36,060.99","35,782.42","250.94M","0.55%"
"12/22/2021","35,753.89","35,491.71","35,764.67","35,433.13","290.73M","0.74%"
"12/21/2021","35,492.70","35,069.50","35,508.96","35,069.50","349.67M","1.60%"
"12/20/2021","34,932.16","35,222.12","35,222.12","34,665.50","388.89M","-1.23%"
"12/17/2021","35,365.44","35,800.11","35,800.11","35,284.26","760.83M","-1.48%"
"12/16/2021","35,897.64","36,036.28","36,189.83","35,778.21","482.77M","-0.08%"
"12/15/2021","35,927.43","35,549.35","35,943.84","35,389.30","432.38M","1.08%"
"12/14/2021","35,544.18","35,605.73","35,779.47","35,441.74","451.23M","-0.30%"
"12/13/2021","35,650.95","35,958.93","35,958.93","35,609.53","451.59M","-0.89%"
"12/10/2021","35,970.99","35,830.55","35,982.69","35,710.43","361.20M","0.60%"
"12/09/2021","35,754.69","35,722.26","35,864.24","35,577.14","353.02M","0.00%"
"12/08/2021","35,754.75","35,716.85","35,840.52","35,602.65","387.65M","0.10%"
"12/07/2021","35,719.43","35,423.99","35,819.47","35,423.99","482.89M","1.40%"
"12/06/2021","35,227.03","34,633.43","35,356.75","34,633.43","418.75M","1.87%"
"12/03/2021","34,580.08","34,692.78","34,801.31","34,264.57","444.85M","-0.17%"
"12/02/2021","34,639.79","34,076.25","34,759.65","34,076.25","470.58M","1.82%"
"12/01/2021","34,022.04","34,678.94","35,004.64","34,006.98","498.38M","-1.34%"
"11/30/2021","34,483.72","35,056.99","35,056.99","34,424.44","678.80M","-1.86%"
